microbe,metabolite,edge_type
Roseburia inulinivorans DSM 16841,L-threonine,consumption
Roseburia inulinivorans DSM 16841,L-tryptophan,consumption
Roseburia inulinivorans DSM 16841,tetradecanoate (n-C14:0),consumption
Roseburia inulinivorans DSM 16841,L-tyrosine,consumption
Roseburia inulinivorans DSM 16841,uracil,consumption
Roseburia inulinivorans DSM 16841,Urea,consumption
Roseburia inulinivorans DSM 16841,L-valine,consumption
Bifidobacterium animalis lactis AD011,acetaldehyde,consumption
Bifidobacterium animalis lactis AD011,acetate,consumption
Bifidobacterium animalis lactis AD011,Adenine,consumption
Bifidobacterium animalis lactis AD011,L-alanine,consumption
Bifidobacterium animalis lactis AD011,L-arabinose,consumption
Bifidobacterium animalis lactis AD011,L-asparagine,consumption
Bifidobacterium animalis lactis AD011,L-aspartate(1-),consumption
Bifidobacterium animalis lactis AD011,Biotin,consumption
Bifidobacterium animalis lactis AD011,L-cysteine,consumption
Bifidobacterium animalis lactis AD011,Cytidine,consumption
Bifidobacterium animalis lactis AD011,Dextrin,consumption
Bifidobacterium animalis lactis AD011,ethanol,consumption
Bifidobacterium animalis lactis AD011,L-argininium(1+),consumption
Bifidobacterium animalis lactis AD011,Formate,consumption
Bifidobacterium animalis lactis AD011,D-glucose,consumption
Bifidobacterium animalis lactis AD011,L-glutamine,consumption
Bifidobacterium animalis lactis AD011,L-glutamate(1-),consumption
Bifidobacterium animalis lactis AD011,Glycine,consumption
Bifidobacterium animalis lactis AD011,Glycerol,consumption
Bifidobacterium animalis lactis AD011,L-histidine,consumption
Bifidobacterium animalis lactis AD011,L-isoleucine,consumption
Bifidobacterium animalis lactis AD011,Lactose,consumption
Bifidobacterium animalis lactis AD011,L-leucine,consumption
Bifidobacterium animalis lactis AD011,L-lysinium(1+),consumption
Bifidobacterium animalis lactis AD011,Maltose,consumption
Bifidobacterium animalis lactis AD011,Melibiose,consumption
Bifidobacterium animalis lactis AD011,L-methionine,consumption
Bifidobacterium animalis lactis AD011,Nicotinate,consumption
Bifidobacterium animalis lactis AD011,Ammonium,consumption
Bifidobacterium animalis lactis AD011,Ornithine,consumption
Bifidobacterium animalis lactis AD011,Phenylalanine,consumption
Bifidobacterium animalis lactis AD011,L-proline,consumption
Bifidobacterium animalis lactis AD011,Pyridoxal,consumption
Bifidobacterium animalis lactis AD011,Raffinose,consumption
Bifidobacterium animalis lactis AD011,D-ribose,consumption
Bifidobacterium animalis lactis AD011,Riboflavin,consumption
Bifidobacterium animalis lactis AD011,Serine,consumption
Bifidobacterium animalis lactis AD011,sulfate,consumption
Bifidobacterium animalis lactis AD011,Stachyose,consumption
Bifidobacterium animalis lactis AD011,Succinate,consumption
Bifidobacterium animalis lactis AD011,Sucrose,consumption
Bifidobacterium animalis lactis AD011,Taurine,consumption
Bifidobacterium animalis lactis AD011,L-threonine,consumption
Bifidobacterium animalis lactis AD011,L-tryptophan,consumption
Bifidobacterium animalis lactis AD011,L-tyrosine,consumption
Bifidobacterium animalis lactis AD011,uracil,consumption
Bifidobacterium animalis lactis AD011,Urea,consumption
Bifidobacterium animalis lactis AD011,L-valine,consumption
Bifidobacterium animalis lactis AD011,Xanthine,consumption
Haemophilus parainfluenzae T3T1,4-Aminobenzoate,consumption
Haemophilus parainfluenzae T3T1,acetaldehyde,consumption
Haemophilus parainfluenzae T3T1,N-acetyl-D-glucosamine,consumption
Haemophilus parainfluenzae T3T1,acetate,consumption
Haemophilus parainfluenzae T3T1,Adenosine,consumption
Haemophilus parainfluenzae T3T1,L-alanine,consumption
Haemophilus parainfluenzae T3T1,L-argininium(1+),consumption
Haemophilus parainfluenzae T3T1,L-asparagine,consumption
Haemophilus parainfluenzae T3T1,L-aspartate(1-),consumption
Haemophilus parainfluenzae T3T1,Choline,consumption
Haemophilus parainfluenzae T3T1,cytosine,consumption
Haemophilus parainfluenzae T3T1,L-cysteine,consumption
Haemophilus parainfluenzae T3T1,Cytidine,consumption
Haemophilus parainfluenzae T3T1,Citrate,consumption
Haemophilus parainfluenzae T3T1,Folate,consumption
Haemophilus parainfluenzae T3T1,Formate,consumption
Haemophilus parainfluenzae T3T1,D-Fructose,consumption
Haemophilus parainfluenzae T3T1,D-Galactose,consumption
Haemophilus parainfluenzae T3T1,galactitol,consumption
Haemophilus parainfluenzae T3T1,D-Glucosamine,consumption
Haemophilus parainfluenzae T3T1,D-glucose,consumption
Haemophilus parainfluenzae T3T1,L-glutamine,consumption
Haemophilus parainfluenzae T3T1,L-glutamate(1-),consumption
Haemophilus parainfluenzae T3T1,Glycine,consumption
Haemophilus parainfluenzae T3T1,Glycerol,consumption
Haemophilus parainfluenzae T3T1,Guanine,consumption
Haemophilus parainfluenzae T3T1,Hexadecanoate (n-C16:0),consumption
Haemophilus parainfluenzae T3T1,L-histidine,consumption
Haemophilus parainfluenzae T3T1,L-isoleucine,consumption
Haemophilus parainfluenzae T3T1,Inosine,consumption
Haemophilus parainfluenzae T3T1,L-leucine,consumption
Haemophilus parainfluenzae T3T1,L-lysinium(1+),consumption
Haemophilus parainfluenzae T3T1,Maltose,consumption
Haemophilus parainfluenzae T3T1,D-Mannose,consumption
Haemophilus parainfluenzae T3T1,L-methionine,consumption
Haemophilus parainfluenzae T3T1,D-Mannitol,consumption
Haemophilus parainfluenzae T3T1,Nicotinate,consumption
Haemophilus parainfluenzae T3T1,Ammonium,consumption
Haemophilus parainfluenzae T3T1,Nitrate,consumption
Haemophilus parainfluenzae T3T1,octadecanoate (n-C18:0),consumption
Haemophilus parainfluenzae T3T1,Ornithine,consumption
Haemophilus parainfluenzae T3T1,Phenylalanine,consumption
Haemophilus parainfluenzae T3T1,propionate,consumption
Haemophilus parainfluenzae T3T1,Phenylpropanoate,consumption
Haemophilus parainfluenzae T3T1,L-proline,consumption
Haemophilus parainfluenzae T3T1,Putrescine,consumption
Haemophilus parainfluenzae T3T1,Pyridoxal,consumption
Haemophilus parainfluenzae T3T1,Serine,consumption
Haemophilus parainfluenzae T3T1,sulfate,consumption
Haemophilus parainfluenzae T3T1,Succinate,consumption
Haemophilus parainfluenzae T3T1,Sucrose,consumption
Haemophilus parainfluenzae T3T1,Taurine,consumption
Haemophilus parainfluenzae T3T1,Thiamin,consumption
Haemophilus parainfluenzae T3T1,L-threonine,consumption
Haemophilus parainfluenzae T3T1,Thymidine,consumption
