IDs: Names
604: Lactobacillus sakei
605: Lactobacillus salivarius
606: Lactobacillus ultunensis
607: Lactobacillus vaginalis
608: Lactococcus lactis
623: Leptotrichia buccalis
624: Leptotrichia goodfellowii
625: Leptotrichia hofstadii
626: Leuconostoc citreum
627: Leuconostoc gasicomitatum
628: Leuconostoc kimchii
629: Leuconostoc mesenteroides
631: Listeria innocua
632: Listeria monocytogenes
652: Marvinbryantia formatexigens
653: Megamonas hypermegale
654: Megasphaera micronuciformis
658: Mesorhizobium ciceri
659: Mesorhizobium loti
660: Mesorhizobium opportunistum
661: Metallosphaera sedula
662: Methanobrevibacter ruminantium
663: Methanobrevibacter smithii
664: Methanocaldococcus fervens
665: Methanocaldococcus infernus
666: Methanocaldococcus jannaschii
667: Methanocaldococcus vulcanius
668: Methanocella paludicola
669: Methanococcoides burtonii
670: Methanococcus aeolicus
671: Methanococcus maripaludis
672: Methanococcus vannielii
673: Methanococcus voltae
674: Methanocorpusculum labreanum
675: Methanoculleus marisnigri
676: Methanohalobium evestigatum
677: Methanohalophilus mahii
678: Methanoplanus petrolearius
679: Methanopyrus kandleri
680: Methanoregula boonei
681: Methanosaeta thermophila
682: Methanosarcina acetivorans
683: Methanosarcina barkeri
684: Methanosarcina mazei
685: Methanosphaera stadtmanae
686: Methanosphaerula palustris
687: Methanospirillum hungatei
688: Methanothermobacter marburgensis
689: Methanothermobacter thermautotrophicus
690: Methanothermococcus okinawensis
691: Methanothermus fervidus
692: Methylacidiphilum infernorum
693: Methylibium petroleiphilum
694: Methylobacillus flagellatus
695: Methylobacter tundripaludum
697: Methylobacterium extorquens (Methylobacterium chloromethanicum)
698: Methylobacterium nodulans
699: Methylobacterium populi
701: Methylocella silvestris
702: Methylococcus capsulatus
703: Methylophaga thiooxidans
704: Methylosinus trichosporium
705: Methylotenera mobilis
706: Micrococcus luteus
711: Mitsuokella multacida
714: Moorella thermoacetica
715: Moraxella catarrhalis
718: Mycobacterium avium
723: Mycobacterium leprae
726: Mycobacterium smegmatis
727: Mycobacterium tuberculosis
730: Mycoplasma agalactiae
731: Mycoplasma alligatoris
732: Mycoplasma arthritidis
733: Mycoplasma bovis
734: Mycoplasma capricolum
735: Mycoplasma conjunctivae
736: Mycoplasma crocodyli
737: Mycoplasma fermentans
738: Mycoplasma gallisepticum
739: Mycoplasma genitalium
740: Mycoplasma haemofelis
741: Mycoplasma hominis
742: Mycoplasma hyopneumoniae
743: Mycoplasma hyorhinis
744: Mycoplasma leachii
745: Mycoplasma mobile
746: Mycoplasma mycoides
747: Mycoplasma penetrans
748: Mycoplasma pneumoniae
749: Mycoplasma pulmonis
750: Mycoplasma synoviae
761: Neisseria flavescens
762: Neisseria gonorrhoeae
765: Neisseria mucosa
772: Nitrobacter hamburgensis
773: Nitrobacter winogradskyi
774: Nitrococcus mobilis
775: Nitrosococcus halophilus
776: Nitrosococcus oceani
777: Nitrosococcus watsoni
778: Nitrosomonas europaea
779: Nitrosomonas eutropha
780: Nitrosopumilus maritimus
781: Nitrosospira multiformis
785: Nostoc punctiforme
796: Odoribacter splanchnicus
797: Oenococcus oeni
804: Oxalobacter formigenes
